id,nombre,precio,stock
103,Cable Micro USB 1m,5.00,150
104,Estacion de Acoplamiento,110.00,6
105,Webcam Cover 3 pack,4.00,200
106,Protector de Sobretension,28.00,22
107,UPS 650VA,65.00,8
108,Mouse Inalambrico Basico,12.00,70
109,Teclado de Membrana,20.00,45
110,Cojin Lumbar Silla,25.00,30
111,Reposapies de Oficina,32.00,15
112,Puntero Laser Presenter,19.00,25
113,Caja Externa HDD 2.5,14.00,38
114,Splitter HDMI 1x2,15.00,30
115,Control Remoto Universal,12.00,50
116,Ventilador USB Escritorio,10.00,65
117,Cargador Carro Dual,9.00,80
118,Antena HDTV Interior,18.00,24
119,Gafas VR Basicas,25.00,12
120,Sensor de Movimiento Zigbee,15.00,40
121,Alarma de Puerta WiFi,12.00,55
122,Smart Plug Mini,11.00,60
123,Termometro Digital Higro,9.50,48
124,Bascula Corporal Smart,32.00,14
125,Cepillo Electrico USB,28.00,20
126,Humidificador Ultrasónico,22.00,18
127,Difusor de Aromas,19.00,25
128,Lampara de Noche Infantil,14.00,35
129,Espejo con Luz LED,25.00,10
130,Organizador de Escritorio,18.00,28
131,Sujeta Libros Metal,12.00,40
132,Pizarra Blanca 60x40,29.00,15
133,Marcadores para Pizarra,8.00,100
134,Borrador Magnetico,3.50,120
135,Chinchetas de Colores,2.50,300
136,Clips Gigantes 50 pack,4.00,200
137,Engrapadora de Brazo,15.00,25
138,Perforadora 2 Huecos,10.00,30
139,Cinta Adhesiva 3 pack,5.50,150
140,Dispensador de Cinta,8.00,40
141,Tijeras de Oficina,4.50,80
142,Cutter Profesional,6.00,60
143,Regla Metalica 30cm,3.00,100
144,Carpeta de Anillas,5.00,120
145,Separadores de Indice,2.00,200
146,Sobres de Burbuja 10 pack,8.00,50
147,Papel A4 500 hojas,6.50,200
148,Tinta para Impresora Negra,22.00,40
149,Tinta para Impresora Color,28.00,30
150,Cable Paralelo Antiguo,15.00,5
151,Lector Codigo de Barras,45.00,12
152,Impresora Termica Tickets,85.00,8
153,Cajon Portamonedas,55.00,6
154,Papel Termico 10 rollos,12.00,100
155,Escaner de Documentos,140.00,4
156,Telefono IP,75.00,10
157,Diadema Call Center,32.00,25
158,Switch POE 8 Puertos,88.00,7
159,Patch Cord 1m Cat6,2.50,300
160,Conectores RJ45 100 pack,10.00,50
161,Crimpadora de Impacto,18.00,20
162,Probador de Cables Red,14.00,35
163,Gabinete de Pared 6U,120.00,3
164,Bandeja para Rack,25.00,10
165,PDU Regleta Rack,45.00,8
166,Servidor Basico NAS,190.00,4
167,Disco Duro NAS 4TB,110.00,12
168,Controladora RAID,150.00,2
169,Tarjeta de Red 10Gbps,95.00,5
170,Cable Fibra Optica 3m,18.00,40
171,Transceptor SFP,22.00,30
172,Convertidor de Medios,45.00,15
173,Antena Parabolica WiFi,65.00,6
174,Protector Solar para Camara,12.00,20
175,Soporte de Techo Proyector,35.00,10
176,Pizarra Tactil,450.00,2
177,Sistema de Sonido 5.1,280.00,3
178,Receptor AV,350.00,2
179,Subwoofer Activo,150.00,4
180,Cable de Audio Optico,12.00,60
181,Extensor HDMI por Red,48.00,12
182,Matriz HDMI 4x4,180.00,3
183,Modulador RF,55.00,5
184,Decodificador Digital,35.00,20
185,Mando de Garaje Clonador,10.00,80
186,Timbre Inteligente Video,95.00,11
187,Cerradura Electronica,145.00,6
188,Sensor de Inundacion,18.00,25
189,Detector de Humo WiFi,22.00,30
190,Valvula de Agua Smart,55.00,8
191,Controlador Aire Acond,28.00,15
192,Estacion Meteorologica,65.00,7
193,Anemometro Digital,32.00,10
194,Medidor de Distancia Laser,38.00,18
195,Nivel Laser Autonivelante,85.00,5
196,Multimetro Digital Pro,45.00,14
197,Soldador de Estano 60W,15.00,25
198,Fuente de Alimentacion Lab,110.00,4
199,Osciloscopio Portatil,220.00,2
200,Kit de Electronica Basico,45.00,15
